The Brauhaus	 AC24312	Beckley	IN	(905) 209-7117	183 Oklahoma St. 	15:15:00	19:00:00
Capricorn Productions Inc	 BN22470	Fuquay Varina	GA	(215) 428-8406	9499 Bald Hill St. 	16:30:00	3:00:00
Wish's Club	 GS30123	Newark	NC	(641) 496-9781	31 Marvon St. 	13:00:00	3:00:00
Sinner's	 GJ51173	Elk Grove Village	GA	(860) 277-9351	245 Jackson Lane 	15:00:00	23:00:00
Comix Cafe	 GF86026	Malvern	IL	(265) 278-1287	36 Willow Court 	13:30:00	4:00:00
Playhouse entertainment	 FE26148	Sioux Falls	NY	(222) 262-0290	801 Bayport Rd. 	14:15:00	21:00:00
Double D	 EG41313	Joliet	MD	(492) 429-5985	11 Creek Avenue 	14:30:00	20:00:00
Uncle Mick's	 DH14406	Mason City	NJ	(269) 499-8550	35 Miller Dr. 	16:00:00	23:00:00
Westside Tavern	 CW41957	Ashburn	MD	(290) 764-9701	7026 Ohio Street 	15:00:00	21:00:00
Village Vanguard	 CT74639	Londonderry	MI	(269) 639-4226	498 Bear Hill Road 	12:30:00	2:00:00
Dead Dog Saloon	 CL70605	Port Orange	NJ	(412) 931-5496	7149 Prairie Drive 	12:30:00	23:00:00
Daddy's Money	 CJ40518	Depew	PA	(354) 663-9355	7324 Arcadia Lane 	15:45:00	21:00:00
My Brother's Place	 BX04194	Athens	ND	(988) 729-3208	1 East Miles Dr. 	14:30:00	3:00:00
Net Soft Usa Inc.	 BT39117	Oceanside	OH	(241) 567-8033	56 Randall Mill Ave. 	12:45:00	22:00:00
Wagers	 GZ84014	Baldwinsville	PA	(948) 761-1553	8798 Ketch Harbour St. 	15:45:00	23:00:00
Bs West	 HD43967	Battle Creek	FL	(552) 272-0281	7059 Dunbar Court 	16:45:00	3:00:00
R Bar	 IP78592	Cedar Falls	UT	(309) 555-9303	9150 High Street 	13:30:00	1:00:00
Vogue Nightclub	 IR81223	West Orange	FL	(404) 855-4418	825 Laurel Circle 	15:15:00	19:00:00
Riverside Bar & Grill	 JP01364	Norwich	MD	(980) 245-7823	519 Smith Avenue 	12:30:00	4:00:00
Chotard Recreation	 JW13512	Chicago Heights	FL	(615) 527-7203	9584 Lexington Street 	14:30:00	3:00:00
Princeton Inn	 KL67823	Ellenwood	RI	(223) 761-4666	716 Rockville Drive 	13:30:00	20:00:00
Charlie's Austin	 LF86064	Grand Rapids	NJ	(507) 208-6958	376 Sunset St. 	15:00:00	22:00:00
Clarke's At South Station	 LX58845	Portsmouth	TX	(224) 270-6413	5 Bow Ridge Ave. 	14:00:00	3:00:00
15 North Cafe	 NA08896	Galloway	FL	(203) 920-8718	7444 Van Dyke Lane 	16:30:00	1:00:00
The Chukker	 NK92043	Youngstown	NY	(581) 689-6589	7239 10th St. 	12:45:00	3:00:00
Village Inn	 OC59526	Christiansburg	NY	(679) 329-2550	872 Green Lane 	12:15:00	19:00:00
Bright Spot	 OS28837	Ontario	NC	(953) 600-8340	306 Prairie Dr. 	15:30:00	0:00:00
Beechwood Inn	 OT39910	West Babylon	OH	(902) 779-5582	77 Leatherwood Ave. 	13:00:00	19:00:00
Reflections Sports Bar	 PQ09240	Moses Lake	MI	(545) 397-3175	10 Linda St. 	16:00:00	20:00:00
BURN'T CHIMNEY POLO CLUB	 SM44316	Maineville	WI	(861) 506-6489	7591 Edgewood St. 	14:45:00	1:00:00
Cool Canary Tavern	 VF77968	La Crosse	MD	(828) 473-4397	712 Glenridge Lane 	14:00:00	21:00:00
Huge Shirt Pub	 WI32008	Madisonville	IL	(948) 981-1136	278 Westport Rd. 	16:15:00	23:00:00
Polite Turkey 	 XF47656	Woodside	MN	(276) 262-5908	980 St Paul St. 	14:45:00	19:00:00
Polite Beavers Pub	 XQ33262	Bangor	KS	(794) 464-9959	7599 Fairview Road 	12:15:00	21:00:00
Fabulous Pirate Bar	 ZW35191	Medford	MN	(780) 280-1238	9 Golden Star Dr. 	13:00:00	3:00:00
Spectacular Angels Bar	ER39424	Marysville	OH	(245) 619-6710	839 W. St Louis St. 	16:30:00	20:00:00
Lean Grotto 	FN03661	North Attleboro	CA	(526) 969-2099	8111 Vale St. 	15:00:00	0:00:00
Quiet Pistachio Inn	GI95012	Summerville	MA	(699) 618-4100	54 Littleton Ave. 	14:30:00	20:00:00
Rotten Rats 	HC43086	West Bend	WV	(220) 240-1005	973 Rock Maple Lane 	14:30:00	22:00:00
Wretched Duck 	HH04554	Bear	MA	(654) 368-1645	10 Illinois Rd. 	15:30:00	2:00:00
Empty Fish Pub	IG01805	Temple Hills	PA	(394) 329-8288	47 E. Silver Spear Street 	17:00:00	22:00:00
Oriental Antelope Tavern	KB37124	Providence	IA	(517) 944-3806	9163 Kent Dr. 	16:00:00	23:00:00
Poor Blossom 	LQ05870	Auburn	IL	(960) 378-7176	7998 South Morris Ave. 	12:00:00	20:00:00
Murky Reindeer Pub	MF11492	Torrington	IN	(312) 711-2662	8743 Smith Dr. 	13:15:00	20:00:00
Triangular Mouse Pub	MT57842	Cranford	NH	(206) 664-8778	734 Sleepy Hollow Ave. 	12:45:00	20:00:00
Blushing Onion 	PO36514	Avon Lake	CA	(487) 788-6190	98 W. Augusta St. 	14:45:00	2:00:00
Natural Hyena 	QF09989	Kent	CA	(502) 933-5633	33 Somerset Lane 	15:30:00	3:00:00
Violet Anemone Pub	WZ50748	Hoffman Estates	NJ	(643) 299-3555	8068 N. Chestnut St. 	13:15:00	3:00:00
Fantastic Trout Tavern	XF60874	Palmetto	GA	(238) 856-0835	7339 SW. Cactus Street 	15:15:00	1:00:00
Tiny Stew Pub	ZN19877	Nazareth	OH	(694) 864-6452	303 Green Ave. 	13:15:00	20:00:00
