Almond Lagoon,Maze Sports
Ancient Delight,Web Media
Angelic Five,Grizzly 
Banana Stinger,Allico
Basil Mocha,Summitechnologies
Brandy Parody,Seawares
Brew Storm,Wooductions
Cherry Thunder,Signmedia
Cognac Petal,Apexking
Cosmic Temper,Apachewheels
Crazy Rum,Apex Records
Cucumber Rumble,Karma Sports
Demon Rage,Honey Productions
Dire Cappuchino,Padlockurity
Eastern Dark Beer,Peachco
Elemental Paradise,Daydreamotors
Evil Joy,Alpite
Fantasy Tea,Pinkforce
Flower Wine,Owlworth
Fresh Burst,Berrycast
Frozen Thrill,Maple 
Glowing Dark Beer,Beta Microsystems
Grape Four,Saw Motors
Grapefruit Score,Whizystems
Green Whistle,Gnomelectrics
Honest Enigma,Dwarfoods
Honest Thriller,Orangations
Honey Killer,Smileshine
Hot Lady,Houndnite
Lavish Fury,Flowertime
Lemon Silence,River Co.
Lemon Thriller,Beedle Brews
Light Ale Kiss,Riddle Industries
Milk Ball,Marsecuriy
Mint Shot,Revelationetworks
Minty Drop,Twilightechnologies
Mountain Duke,Primacoustics
Nasty Snake,Greenhouse
Noble Volley,Nightshade
Noxious Smooch,Bullair
Numb Talon,Heart Coms
Oaken Squeeze,Petal Technologies
Orange Moonshine,Orange Systems
Oregano Freedom,Webrews
Potato Cider,Wizardustries
Potato Wink,Midnightelligence
Precious Phantom,Cliffoods
Red Six,Mountainware
Rude Score,Apexex
Sake Rage,Wondersearch
Salt 'n Pepper Buzzer,Cannon Navigations
Salt 'n Pepper Fury,Vine Foods
Savage Burst,Rhino Arts
Scented Crystal,Pinkorps
Smooth Barrage,Orco
Southern Buzzer,Rosecurity
Southern Puff,Canics
Southern Seven,Mermaidcoms
Stale Joy,Heartdream
Summer Cooler,Drifttechs
Thyme Volley,Iceberg Navigations
Tomato Rage,River Sports
Tonic Tremor,Fortune Corporation
Tropic Wonder,Mysticorps
Twisting Whisper,Sphinxecurity
Universal Night,Icecorps
Warm Horn,Essensecurity
Wasabi Nectar,Riddlelight
Wine Starlight,Jetbit
Winged Sizzle,Apexphone
